id;nome;cpf;telefone;email;data_nasc;data_cad;ativo;;;
16;Hugo Davi Guilherme Corte Real;30430175876;1129458347;hugo-cortereal83@cassianoricardo.com.br;01/01/1954;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
17;Caroline Alessandra Barbosa;17275920859;1127638713;caroline-barbosa97@deze7.com.br;07/03/1977;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
18;Sebastião Filipe Mário Assunção;65712387808;1137457917;sebastiao-assuncao74@controtel.com.br;20/03/1990;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
19;Theo Pedro Geraldo Aparício;70601240804;1137294821;theo_aparicio@credendio.com.br;17/04/1953;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
20;Mariah Isabel de Paula;19155566863;1129843494;mariahisabeldepaula@schaeffler.com;17/02/1950;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
21;Eloá Isadora Freitas;71223994864;1138079379;eloa_freitas@vizzacchi.com.br;21/03/1992;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
22;Vicente Bruno da Rocha;13378062851;1139726115;vicente_darocha@viacorte.com.br;08/04/1982;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
23;Mario Livro Cílios Drumond;81767915891;1137753920;marios_drumond@kmspublicidade.com.br;07/03/1949;25/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
24;Marcos Gomes Faria;12345678911;12389123545;Marcos@gmail.com;21/03/1992;25/04/2024 08:47;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
;;;;;;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);";;
